"","DAY","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
"V1","1-Jul",98,86,91,84,89,84,90,73,82,91,93,95,85,95,87,92,105,82,90,85,91,91
"V2","2-Jul",97,90,88,82,91,87,90,81,81,89,93,85,87,90,84,94,93,85,93,87,91,90
"V3","3-Jul",97,93,91,87,93,87,87,87,86,86,93,82,91,89,83,95,99,76,87,79,85,85
"V4","4-Jul",90,91,91,88,95,84,89,86,88,86,91,86,90,91,85,92,98,77,84,85,87,86
"V5","5-Jul",89,84,91,90,96,86,93,80,90,89,90,88,88,80,88,90,100,83,86,84,86,86
"V6","6-Jul",93,84,89,91,96,87,93,84,90,82,81,87,82,87,89,90,98,83,87,84,85,84
"V7","7-Jul",93,75,93,82,96,87,89,87,89,76,80,82,88,86,94,94,93,79,89,90,84,83
"V8","8-Jul",91,87,95,86,91,89,89,90,87,88,82,82,90,82,97,94,95,88,90,90,83,83
"V9","9-Jul",93,84,95,87,96,91,90,89,88,89,84,89,89,84,96,91,97,88,90,91,82,81
"V10","10-Jul",93,87,91,87,99,87,91,84,89,78,84,86,87,84,90,92,95,87,87,93,79,79
"V11","11-Jul",90,84,91,82,96,90,84,84,90,83,90,85,89,86,93,95,90,80,85,92,77,76
"V12","12-Jul",91,88,86,77,93,90,77,86,89,86,91,87,93,90,90,95,84,87,90,93,78,77
"V13","13-Jul",93,86,88,73,91,86,82,87,91,84,91,86,85,84,91,97,90,78,89,92,76,75
"V14","14-Jul",93,90,87,81,93,82,88,84,91,87,91,84,88,89,91,90,90,85,90,90,76,76
"V15","15-Jul",82,91,91,81,93,82,91,86,84,84,91,81,89,89,94,80,90,86,86,89,75,74
"V16","16-Jul",91,91,87,86,93,84,93,88,84,85,91,86,89,90,89,85,92,87,83,88,76,75
"V17","17-Jul",96,89,90,82,91,87,93,88,84,89,93,89,88,88,87,87,93,91,86,93,79,78
"V18","18-Jul",95,89,91,87,97,88,93,88,87,90,93,89,90,82,83,89,93,87,82,92,78,77
"V19","19-Jul",96,89,95,88,100,90,93,88,84,89,96,88,91,80,90,94,91,90,85,91,80,79
"V20","20-Jul",99,90,91,90,99,87,91,88,88,89,93,86,94,82,91,91,84,86,76,93,78,78
"V21","21-Jul",91,89,91,90,93,84,95,89,89,90,93,86,95,86,94,92,90,87,82,93,82,81
"V22","22-Jul",95,84,89,91,96,87,91,86,89,91,91,79,92,84,95,94,95,85,83,92,82,81
"V23","23-Jul",91,87,91,93,87,90,89,81,93,91,86,82,87,87,97,92,97,84,88,88,81,81
"V24","24-Jul",93,88,91,93,82,84,87,82,95,90,87,87,88,88,94,92,97,86,87,91,81,81
"V25","25-Jul",84,89,86,91,75,82,84,84,89,92,88,87,89,90,95,90,98,89,88,90,80,80
